"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"03.09.2019","37,13","37,06","37,26","37,06","0,14K","0,16%"
"02.09.2019","37,07","37,29","37,30","36,80","0,01K","-0,56%"
"30.08.2019","37,28","37,22","37,44","37,10","1,21K","0,11%"
"29.08.2019","37,24","37,11","37,53","37,05","1,86K","0,27%"
"28.08.2019","37,14","37,03","37,19","36,65","1,35K","0,76%"
"27.08.2019","36,86","36,98","37,03","36,71","0,92K","-0,14%"
"26.08.2019","36,91","36,52","36,95","36,49","0,84K","0,76%"
"23.08.2019","36,63","36,57","36,68","36,40","1,07K","0,30%"
"22.08.2019","36,52","36,16","36,65","36,16","1,53K","0,86%"
"21.08.2019","36,21","36,25","36,47","36,01","1,67K","0,17%"
"20.08.2019","36,15","36,38","36,90","36,07","1,98K","-1,12%"
"19.08.2019","36,56","36,45","36,65","36,16","0,68K","0,08%"
"16.08.2019","36,53","36,35","36,70","36,30","0,82K","0,52%"
"15.08.2019","36,34","36,55","36,70","36,25","0,92K","-0,90%"
"14.08.2019","36,67","36,42","37,07","36,42","1,24K","0,47%"
"13.08.2019","36,50","36,77","36,77","36,05","3,47K","-1,11%"
"12.08.2019","36,91","38,45","38,90","36,81","5,13K","-4,01%"
"09.08.2019","38,45","38,10","38,60","38,09","1,48K","0,81%"
"08.08.2019","38,14","38,50","38,50","38,00","2,43K","-0,75%"
"07.08.2019","38,43","37,60","38,70","37,49","5,28K","2,56%"
"06.08.2019","37,47","37,39","37,65","36,90","3,06K","0,54%"
"05.08.2019","37,27","36,50","37,40","36,11","3,25K","2,11%"
"02.08.2019","36,50","36,13","36,62","36,06","1,94K","1,11%"
"01.08.2019","36,10","36,56","36,78","36,05","3,94K","-1,37%"
"31.07.2019","36,60","36,93","36,93","36,47","2,57K","-0,65%"
"30.07.2019","36,84","36,87","36,96","36,61","2,11K","-0,22%"
"29.07.2019","36,92","36,68","36,99","36,67","0,76K","0,60%"
"26.07.2019","36,70","36,55","36,75","36,42","1,10K","0,25%"
"25.07.2019","36,61","36,65","36,79","36,52","2,81K","-0,30%"
"24.07.2019","36,72","36,90","37,23","36,65","2,29K","-0,41%"
"23.07.2019","36,87","36,98","37,27","36,76","1,83K","-0,19%"
"22.07.2019","36,94","37,30","37,42","36,76","2,29K","-1,07%"
"19.07.2019","37,34","37,01","37,44","37,01","1,52K","0,70%"
"18.07.2019","37,08","37,81","37,90","37,00","3,69K","-1,96%"
"17.07.2019","37,82","37,70","38,10","37,67","2,31K","0,45%"
"16.07.2019","37,65","37,67","37,75","37,16","2,78K","1,43%"
"15.07.2019","37,12","37,05","37,11","37,05","0,02K","-0,11%"
"12.07.2019","37,16","37,20","37,30","36,95","0,13K","-0,64%"
"11.07.2019","37,40","37,44","37,49","36,93","0,02K","-0,13%"
"10.07.2019","37,45","37,61","37,70","37,20","0,03K","-1,86%"
"08.07.2019","38,16","37,90","37,91","37,20","0,03K","0,16%"
