"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"07.03.2019","901,50","902,00","907,38","898,38","-","-0,06%"
"06.03.2019","902,00","913,75","916,12","901,12","-","-1,29%"
"05.03.2019","913,75","916,25","918,38","909,12","-","-0,27%"
"04.03.2019","916,25","914,88","924,38","913,12","-","0,62%"
"01.03.2019","910,62","910,00","917,88","900,62","-","0,07%"
"28.02.2019","910,00","916,50","918,12","909,88","-","-0,71%"
"27.02.2019","916,50","917,50","923,12","913,62","-","-0,11%"
"26.02.2019","917,50","924,00","924,00","912,38","-","-0,70%"
"25.02.2019","924,00","930,88","934,38","923,75","-","1,51%"
"22.02.2019","910,25","910,75","914,75","907,62","-","-0,05%"
"21.02.2019","910,75","902,25","916,12","900,00","-","0,89%"
"20.02.2019","902,75","901,75","904,88","893,12","-","0,11%"
"19.02.2019","901,75","907,25","911,12","894,88","-","-0,63%"
"18.02.2019","907,50","907,75","907,75","907,50","-","-0,03%"
"17.02.2019","907,75","907,50","907,75","907,50","-","0,01%"
"15.02.2019","907,62","905,75","909,38","901,38","-","0,21%"
"14.02.2019","905,75","917,50","918,12","903,12","-","-1,27%"
"13.02.2019","917,38","917,50","919,88","913,88","-","-0,01%"
"12.02.2019","917,50","905,75","919,62","905,75","-","1,30%"
"11.02.2019","905,75","914,25","918,88","903,62","-","-0,93%"
"10.02.2019","914,25","914,75","914,75","913,25","-","-0,25%"
"08.02.2019","916,50","913,12","917,62","908,12","-","0,38%"
"07.02.2019","913,00","921,25","921,38","910,62","-","-0,90%"
"06.02.2019","921,25","919,88","922,38","917,62","-","0,11%"
"05.02.2019","920,25","919,00","920,88","913,62","-","0,14%"
"04.02.2019","919,00","917,50","923,62","915,62","-","0,16%"
"03.02.2019","917,50","917,50","917,50","917,50","-","0,01%"
"01.02.2019","917,38","915,75","931,00","915,75","-","0,18%"
"31.01.2019","915,75","920,00","926,62","913,38","-","-0,46%"
"30.01.2019","920,00","919,50","923,88","917,38","-","0,05%"
"29.01.2019","919,50","923,00","923,00","916,88","-","-0,38%"
"28.01.2019","923,00","920,25","924,88","915,88","-","0,27%"
"27.01.2019","920,50","922,50","923,00","920,50","-","-0,31%"
"25.01.2019","923,38","916,25","925,88","913,38","-","0,78%"
"24.01.2019","916,25","915,12","919,38","909,62","-","0,14%"
"23.01.2019","915,00","911,00","918,12","910,00","-","0,52%"
"22.01.2019","910,25","915,00","919,38","899,88","-","-0,41%"
"21.01.2019","914,00","916,25","916,25","914,00","-","-0,11%"
"20.01.2019","915,00","915,00","915,00","915,00","-","-0,01%"
"18.01.2019","915,12","907,75","920,12","905,88","-","0,90%"
"17.01.2019","907,00","894,75","911,88","894,38","-","1,40%"
"16.01.2019","894,50","893,50","899,88","891,12","-","0,14%"
"15.01.2019","893,25","903,25","907,88","892,62","-","-1,13%"
"14.01.2019","903,50","910,25","911,00","901,62","-","-0,77%"
"11.01.2019","910,50","907,25","912,25","907,00","-","0,36%"
"10.01.2019","907,25","923,50","924,50","905,75","-","-1,79%"
"09.01.2019","923,75","918,50","926,38","917,50","-","0,57%"
"08.01.2019","918,50","923,25","925,62","914,62","-","-0,49%"
"07.01.2019","923,00","921,00","927,62","921,00","-","0,24%"
"06.01.2019","920,75","921,00","922,25","919,00","-","-0,15%"
"04.01.2019","922,12","910,50","922,38","910,25","-","1,28%"
"03.01.2019","910,50","905,25","913,25","904,25","-","0,41%"
"02.01.2019","906,75","894,00","910,50","892,25","-","1,43%"
"31.12.2018","894,00","893,25","901,75","892,00","-","1,27%"
"28.12.2018","882,75","868,00","886,38","868,00","-","1,47%"
"27.12.2018","870,00","870,50","875,75","867,00","-","-0,06%"
"26.12.2018","870,50","884,38","888,75","869,00","-","-1,55%"
"24.12.2018","884,25","881,12","886,50","879,50","-","0,11%"
"21.12.2018","883,25","895,50","895,50","883,25","-","-1,37%"
"20.12.2018","895,50","899,50","905,25","892,75","-","-0,39%"
"19.12.2018","899,00","906,88","909,88","899,00","-","-0,85%"
"18.12.2018","906,75","905,00","912,25","902,25","-","0,19%"
"17.12.2018","905,00","899,00","909,12","899,00","-","0,72%"
"16.12.2018","898,50","898,50","898,50","898,50","-","-0,19%"
"14.12.2018","900,25","906,00","910,12","900,00","-","-0,77%"
"13.12.2018","907,25","919,00","919,88","905,00","-","-1,22%"
"12.12.2018","918,50","914,75","928,00","914,00","-","0,49%"
"11.12.2018","914,00","906,00","917,12","906,00","-","0,55%"
"10.12.2018","909,00","914,00","916,38","908,50","-","-0,36%"
"09.12.2018","912,25","914,75","915,00","912,25","-","-0,41%"
"07.12.2018","916,00","909,75","917,88","907,50","-","0,69%"
"06.12.2018","909,75","911,50","912,00","897,00","-","-0,22%"
"05.12.2018","911,75","910,50","916,75","908,50","-","0,14%"
"04.12.2018","910,50","904,75","913,00","899,50","-","0,64%"
"03.12.2018","904,75","919,25","923,25","904,50","-","1,29%"
"30.11.2018","893,25","888,75","896,50","886,50","-","0,51%"
"29.11.2018","888,75","890,75","894,00","882,50","-","-0,22%"
"28.11.2018","890,75","877,00","894,75","874,00","-","1,57%"
"27.11.2018","877,00","862,50","880,00","858,25","-","1,68%"
"26.11.2018","862,50","881,00","883,00","857,25","-","-2,07%"
"23.11.2018","880,75","884,50","884,50","880,00","-","-0,42%"
"22.11.2018","884,50","884,50","884,50","884,50","-","0,00%"
"21.11.2018","884,50","881,25","889,00","876,00","-","0,37%"
"20.11.2018","881,25","874,00","885,75","870,75","-","0,83%"
"19.11.2018","874,00","891,50","891,50","871,50","-","-2,07%"
"16.11.2018","892,50","889,00","894,75","881,75","-","0,39%"
"15.11.2018","889,00","883,00","897,25","883,00","-","0,68%"
"14.11.2018","883,00","878,25","887,25","878,25","-","0,54%"
"13.11.2018","878,25","881,50","890,75","877,25","-","-0,37%"
"12.11.2018","881,50","886,00","887,00","879,50","-","-0,51%"
"09.11.2018","886,00","879,00","888,50","874,00","-","0,80%"
"08.11.2018","879,00","879,50","884,00","864,50","-","-0,06%"
"07.11.2018","879,50","884,75","888,00","876,75","-","-0,59%"
"06.11.2018","884,75","885,50","889,00","878,50","-","-0,08%"
"05.11.2018","885,50","886,75","892,75","881,75","-","-0,14%"
"04.11.2018","886,75","886,75","886,75","886,75","-","0,00%"
"02.11.2018","886,75","880,50","900,75","878,75","-","0,68%"
"01.11.2018","880,75","849,75","888,50","845,75","-","3,62%"
"31.10.2018","850,00","846,00","855,00","844,75","-","0,44%"
"30.10.2018","846,25","851,75","855,00","846,00","-","-0,65%"
"29.10.2018","851,75","859,75","865,50","850,50","-","-0,90%"
"28.10.2018","859,50","858,50","859,75","858,50","-","1,75%"
"26.10.2018","844,75","841,00","849,25","841,00","-","0,45%"
"25.10.2018","841,00","850,00","850,75","840,00","-","-1,15%"
"24.10.2018","850,75","855,75","856,75","850,00","-","-0,58%"
"23.10.2018","855,75","856,50","862,75","851,25","-","-0,12%"
"22.10.2018","856,75","856,25","862,75","855,75","-","0,06%"
"21.10.2018","856,25","855,75","856,25","855,50","-","0,00%"
"19.10.2018","856,25","865,75","866,25","856,25","-","-1,04%"
"18.10.2018","865,25","882,75","883,75","862,75","-","-1,95%"
"17.10.2018","882,50","883,00","889,75","882,00","-","0,00%"
"16.10.2018","882,50","890,75","891,00","879,25","-","-0,93%"
"15.10.2018","890,75","867,50","892,00","863,50","-","2,68%"
"14.10.2018","867,50","867,00","867,50","867,00","-","0,00%"
"12.10.2018","867,50","859,75","868,00","858,75","-","0,90%"
"11.10.2018","859,75","851,25","863,50","847,00","-","0,91%"
"10.10.2018","852,00","862,50","864,75","847,25","-","-1,22%"
"09.10.2018","862,50","869,50","872,50","859,50","-","-0,78%"
"08.10.2018","869,25","872,25","874,75","862,75","-","-0,32%"
"07.10.2018","872,00","872,25","872,75","871,75","-","0,32%"
"05.10.2018","869,25","859,75","870,25","851,50","-","1,13%"
"04.10.2018","859,50","860,50","868,25","858,50","-","-0,12%"
"03.10.2018","860,50","866,75","870,25","860,50","-","-0,72%"
"02.10.2018","866,75","855,50","867,25","853,00","-","1,32%"
"01.10.2018","855,50","845,50","864,00","843,00","-","1,18%"
"30.09.2018","845,50","845,00","845,50","845,00","-","0,15%"
"28.09.2018","844,25","853,75","859,25","842,00","-","-1,20%"
"27.09.2018","854,50","847,75","859,00","846,50","-","0,80%"
"26.09.2018","847,75","846,50","854,00","846,00","-","0,15%"
"25.09.2018","846,50","841,25","858,00","837,25","-","0,65%"
"24.09.2018","841,00","843,50","845,25","838,50","-","-0,30%"
