"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"06.01.2019","518,50","516,38","518,50","516,00","-","0,44%"
"04.01.2019","516,25","514,00","518,75","513,00","-","0,49%"
"03.01.2019","513,75","508,25","515,88","506,00","-","1,43%"
"02.01.2019","506,50","503,12","510,62","501,38","-","0,70%"
"31.12.2018","503,00","511,50","513,12","503,00","-","-1,61%"
"28.12.2018","511,25","511,00","513,88","509,50","-","0,05%"
"27.12.2018","511,00","511,75","514,00","507,25","-","-0,24%"
"26.12.2018","512,25","515,75","520,62","509,00","-","-0,73%"
"24.12.2018","516,00","511,25","518,00","511,00","-","0,98%"
"23.12.2018","511,00","511,00","511,00","511,00","-","-0,54%"
"21.12.2018","513,75","522,50","524,00","512,38","-","-1,67%"
"20.12.2018","522,50","524,25","527,75","521,25","-","-0,29%"
"19.12.2018","524,00","532,88","532,88","521,50","-","-1,55%"
"18.12.2018","532,25","535,00","535,88","529,88","-","-0,51%"
"17.12.2018","535,00","531,12","537,38","530,00","-","0,94%"
"14.12.2018","530,00","536,38","537,62","527,75","-","-1,12%"
"13.12.2018","536,00","528,25","538,50","526,00","-","1,90%"
"12.12.2018","526,00","522,00","528,75","521,25","-","0,91%"
"11.12.2018","521,25","524,88","528,88","517,50","-","-0,62%"
"10.12.2018","524,50","531,25","531,25","524,50","-","-1,22%"
"09.12.2018","531,00","531,00","531,00","531,00","-","-0,14%"
"07.12.2018","531,75","516,25","532,00","515,25","-","3,05%"
"06.12.2018","516,00","518,25","518,25","510,00","-","-0,39%"
"05.12.2018","518,00","522,75","522,75","513,50","-","-0,96%"
"04.12.2018","523,00","519,25","523,25","516,00","-","0,72%"
"03.12.2018","519,25","527,75","529,25","517,00","-","0,73%"
"30.11.2018","515,50","507,75","519,25","507,25","-","1,53%"
"29.11.2018","507,75","511,25","514,50","506,00","-","-0,68%"
"28.11.2018","511,25","507,00","513,00","505,25","-","0,94%"
"27.11.2018","506,50","513,50","516,75","504,00","-","-1,36%"
"26.11.2018","513,50","510,00","514,25","509,00","-","2,75%"
"23.11.2018","499,75","498,00","507,50","498,00","-","0,35%"
"22.11.2018","498,00","498,00","498,00","498,00","-","0,00%"
"21.11.2018","498,00","500,75","504,25","497,75","-","-0,55%"
"20.11.2018","500,75","497,00","502,50","495,50","-","0,55%"
"19.11.2018","498,00","506,50","507,25","496,00","-","-1,73%"
"16.11.2018","506,75","505,50","508,75","502,75","-","0,25%"
"15.11.2018","505,50","503,75","509,00","503,25","-","0,35%"
"14.11.2018","503,75","506,50","511,00","501,00","-","-0,54%"
"13.11.2018","506,50","518,75","520,75","506,00","-","-2,36%"
"12.11.2018","518,75","501,50","520,75","501,25","-","3,29%"
"09.11.2018","502,25","507,25","508,00","500,75","-","-0,99%"
"08.11.2018","507,25","509,50","517,00","503,25","-","-0,44%"
"07.11.2018","509,50","512,00","514,25","507,25","-","-0,34%"
"06.11.2018","511,25","506,75","514,00","505,50","-","0,89%"
"05.11.2018","506,75","508,50","512,25","503,75","-","-0,34%"
"04.11.2018","508,50","508,50","508,50","508,50","-","0,00%"
"02.11.2018","508,50","508,00","509,75","502,75","-","-0,05%"
"01.11.2018","508,75","501,50","510,00","500,75","-","1,60%"
"31.10.2018","500,75","498,25","501,75","490,00","-","0,30%"
"30.10.2018","499,25","505,75","507,50","497,00","-","-1,24%"
"29.10.2018","505,50","511,50","515,00","502,75","-","-1,08%"
"28.10.2018","511,00","510,75","511,00","510,25","-","1,24%"
"26.10.2018","504,75","486,75","506,75","486,75","-","3,64%"
"25.10.2018","487,00","499,00","499,25","485,50","-","-2,65%"
"24.10.2018","500,25","509,75","510,50","496,75","-","-2,01%"
"23.10.2018","510,50","508,50","511,25","505,25","-","0,39%"
"22.10.2018","508,50","513,50","513,75","507,25","-","-0,88%"
"21.10.2018","513,00","513,50","513,75","513,00","-","-0,19%"
"19.10.2018","514,00","512,50","518,50","510,75","-","0,19%"
"18.10.2018","513,00","515,50","519,50","511,00","-","-0,48%"
"17.10.2018","515,50","522,00","523,50","515,50","-","-1,10%"
"16.10.2018","521,25","525,50","527,00","521,00","-","-0,76%"
"15.10.2018","525,25","518,75","525,75","514,75","-","1,25%"
"14.10.2018","518,75","518,50","519,00","518,50","-","0,19%"
"12.10.2018","517,75","507,50","519,00","507,50","-","1,97%"
"11.10.2018","507,75","510,50","521,00","506,50","-","-0,54%"
"10.10.2018","510,50","516,50","518,00","510,25","-","-1,11%"
"09.10.2018","516,25","513,00","520,50","511,25","-","0,63%"
"08.10.2018","513,00","524,50","525,00","512,75","-","-2,15%"
"07.10.2018","524,25","525,00","525,00","524,25","-","0,24%"
"05.10.2018","523,00","517,50","524,50","517,25","-","1,11%"
"04.10.2018","517,25","516,00","520,75","513,75","-","0,19%"
"03.10.2018","516,25","522,75","527,25","514,25","-","-1,15%"
"02.10.2018","522,25","510,25","524,50","505,25","-","2,30%"
"01.10.2018","510,50","512,25","515,25","505,50","-","-0,34%"
"30.09.2018","512,25","509,75","512,25","509,75","-","0,34%"
"28.09.2018","510,50","512,75","518,00","505,50","-","-0,34%"
"27.09.2018","512,25","517,25","522,00","511,25","-","-1,11%"
"26.09.2018","518,00","522,00","527,00","517,00","-","-0,77%"
"25.09.2018","522,00","525,25","525,75","516,25","-","-0,52%"
"24.09.2018","524,75","521,50","531,25","520,00","-","0,67%"
"23.09.2018","521,25","521,75","521,75","521,00","-","-0,24%"
"21.09.2018","522,50","521,25","524,00","515,25","-","0,29%"
"20.09.2018","521,00","523,25","525,50","516,00","-","-0,43%"
"19.09.2018","523,25","511,00","523,25","511,00","-","2,40%"
"18.09.2018","511,00","508,25","514,25","506,50","-","0,54%"
"17.09.2018","508,25","512,75","517,50","505,50","-","-1,07%"
"16.09.2018","513,75","512,75","513,75","512,75","-","0,39%"
"14.09.2018","511,75","497,25","514,25","496,25","-","3,02%"
"13.09.2018","496,75","505,75","509,75","495,25","-","-1,78%"
"12.09.2018","505,75","520,00","529,25","500,25","-","-2,79%"
"11.09.2018","520,25","529,50","532,75","517,25","-","-1,75%"
"10.09.2018","529,50","513,75","529,75","508,50","-","3,17%"
"09.09.2018","513,25","512,00","513,50","512,00","-","0,05%"
"07.09.2018","513,00","513,50","514,50","507,50","-","-0,05%"
"06.09.2018","513,25","522,25","524,50","512,75","-","-1,72%"
"05.09.2018","522,25","530,50","538,25","521,25","-","-1,51%"
"04.09.2018","530,25","538,25","542,50","519,75","-","-1,58%"
"03.09.2018","538,75","537,75","539,00","537,75","-","-1,42%"
"31.08.2018","546,50","536,75","548,00","535,75","-","2,01%"
"30.08.2018","535,75","546,50","549,50","530,25","-","-1,88%"
"29.08.2018","546,00","522,25","546,25","521,50","-","4,50%"
"28.08.2018","522,50","522,75","529,00","518,75","-","-0,05%"
"27.08.2018","522,75","535,75","535,75","521,75","-","1,80%"
"24.08.2018","513,50","520,50","521,50","513,00","-","-1,58%"
"23.08.2018","521,75","529,75","531,25","515,50","-","-1,79%"
"22.08.2018","531,25","526,25","534,25","520,50","-","0,95%"
"21.08.2018","526,25","542,00","543,00","526,00","-","-3,13%"
"20.08.2018","543,25","562,75","562,75","540,75","-","-2,99%"
"17.08.2018","560,00","541,75","562,75","535,25","-","3,23%"
"16.08.2018","542,50","532,50","547,50","531,00","-","1,93%"
"15.08.2018","532,25","540,75","542,50","528,25","-","-1,62%"
"14.08.2018","541,00","535,00","544,00","532,25","-","1,12%"
"13.08.2018","535,00","546,25","549,50","530,75","-","-2,19%"
"10.08.2018","547,00","564,75","574,00","546,50","-","-3,14%"
"09.08.2018","564,75","570,50","573,50","562,00","-","-1,05%"
"08.08.2018","570,75","569,75","578,00","564,50","-","0,18%"
"07.08.2018","569,75","575,50","586,00","564,25","-","-0,96%"
"06.08.2018","575,25","555,00","576,00","551,50","-","2,95%"
"03.08.2018","558,75","563,25","567,75","554,00","-","-0,84%"
"02.08.2018","563,50","560,00","593,00","559,50","-","0,71%"
"01.08.2018","559,50","555,25","566,00","550,75","-","0,90%"
"31.07.2018","554,50","543,75","565,00","540,50","-","1,93%"
"30.07.2018","544,00","534,25","551,75","533,00","-","2,59%"
"27.07.2018","530,25","536,00","542,00","525,25","-","-1,07%"
"26.07.2018","536,00","544,50","553,75","532,00","-","-1,52%"
"25.07.2018","544,25","512,00","545,25","511,50","-","6,40%"
"24.07.2018","511,50","510,75","516,00","505,25","-","-0,05%"
"23.07.2018","511,75","518,50","522,50","511,75","-","-0,73%"
"22.07.2018","515,50","515,50","515,50","515,50","-","0,05%"
"20.07.2018","515,25","503,75","519,75","503,50","-","2,33%"
"19.07.2018","503,50","493,50","505,75","490,25","-","2,08%"
"18.07.2018","493,25","498,75","505,00","493,25","-","-1,05%"
"17.07.2018","498,50","491,25","504,25","487,75","-","1,48%"
"16.07.2018","491,25","494,50","498,50","486,75","-","-1,16%"
"13.07.2018","497,00","484,50","497,50","481,25","-","2,58%"
"12.07.2018","484,50","474,50","488,50","473,00","-","2,11%"
"11.07.2018","474,50","488,00","490,50","471,25","-","-2,82%"
"10.07.2018","488,25","505,25","507,50","488,00","-","-3,32%"
"09.07.2018","505,00","514,00","514,00","503,50","-","-1,70%"
"06.07.2018","513,75","503,75","516,25","498,50","-","2,09%"
"05.07.2018","503,25","497,50","508,50","496,50","-","2,55%"
"03.07.2018","490,75","482,50","493,00","481,75","-","2,03%"
"02.07.2018","481,00","501,75","509,50","479,50","-","-4,18%"
"29.06.2018","502,00","484,75","509,00","483,50","-","3,56%"
"28.06.2018","484,75","487,50","492,75","482,75","-","-0,77%"
"27.06.2018","488,50","483,00","491,75","482,25","-","1,24%"
"26.06.2018","482,50","491,75","495,75","480,25","-","-1,88%"
"25.06.2018","491,75","503,25","503,25","487,00","-","0,46%"
"22.06.2018","489,50","497,00","497,25","487,25","-","-1,46%"
"21.06.2018","496,75","491,50","498,50","482,25","-","1,02%"
"20.06.2018","491,75","478,00","491,75","474,75","-","2,93%"
"19.06.2018","477,75","489,50","490,50","467,50","-","-2,35%"
"18.06.2018","489,25","495,25","499,00","487,75","-","-2,10%"
"15.06.2018","499,75","502,00","508,50","487,00","-","-0,40%"
"14.06.2018","501,75","515,75","517,00","498,25","-","-2,71%"
"13.06.2018","515,75","534,50","538,75","514,50","-","-3,51%"
"12.06.2018","534,50","514,25","538,25","510,25","-","3,84%"
"11.06.2018","514,75","520,25","528,00","511,75","-","-1,62%"
